rewindA_0_3	b	rewindA_0_3	b	L
rewindA_0_3	3	rewindA_0_3	3	L
rewindA_0_3	2	rewindA_0_3	2	L
rewindA_0_3	^	cmpA_0_3	^	R
rewindA_1_0	c	rewindA_1_0	c	L
rewindA_1_0	a	rewindA_1_0	a	L
rewindA_1_0	R	rewindA_1_0	R	L
rewindA_1_0	A	rewindA_1_0	A	L
rewindA_1_0	L	rewindA_1_0	L	L
rewindA_1_0	,	rewindA_1_0	,	L
rewindA_1_0	d	rewindA_1_0	d	L
rewindA_1_0	1	rewindA_1_0	1	L
rewindA_1_0	X	rewindA_1_0	X	L
rewindA_1_0	0	rewindA_1_0	0	L
rewindA_1_0	#	rewindA_1_0	#	L
rewindA_1_0	;	rewindA_1_0	;	L
rewindA_1_0	b	rewindA_1_0	b	L
rewindA_1_0	3	rewindA_1_0	3	L
rewindA_1_0	2	rewindA_1_0	2	L
rewindA_1_0	^	cmpA_1_0	^	R
rewindA_1_1	c	rewindA_1_1	c	L
rewindA_1_1	a	rewindA_1_1	a	L
rewindA_1_1	R	rewindA_1_1	R	L
rewindA_1_1	A	rewindA_1_1	A	L
rewindA_1_1	L	rewindA_1_1	L	L
rewindA_1_1	,	rewindA_1_1	,	L
rewindA_1_1	d	rewindA_1_1	d	L
rewindA_1_1	1	rewindA_1_1	1	L
rewindA_1_1	X	rewindA_1_1	X	L
rewindA_1_1	0	rewindA_1_1	0	L
rewindA_1_1	#	rewindA_1_1	#	L
rewindA_1_1	;	rewindA_1_1	;	L
rewindA_1_1	b	rewindA_1_1	b	L
rewindA_1_1	3	rewindA_1_1	3	L
rewindA_1_1	2	rewindA_1_1	2	L
rewindA_1_1	^	cmpA_1_1	^	R
rewindA_1_2	c	rewindA_1_2	c	L
rewindA_1_2	a	rewindA_1_2	a	L
rewindA_1_2	R	rewindA_1_2	R	L
rewindA_1_2	A	rewindA_1_2	A	L
rewindA_1_2	L	rewindA_1_2	L	L
rewindA_1_2	,	rewindA_1_2	,	L
rewindA_1_2	d	rewindA_1_2	d	L
rewindA_1_2	1	rewindA_1_2	1	L
rewindA_1_2	X	rewindA_1_2	X	L
rewindA_1_2	0	rewindA_1_2	0	L
rewindA_1_2	#	rewindA_1_2	#	L
rewindA_1_2	;	rewindA_1_2	;	L
rewindA_1_2	b	rewindA_1_2	b	L
rewindA_1_2	3	rewindA_1_2	3	L
rewindA_1_2	2	rewindA_1_2	2	L
rewindA_1_2	^	cmpA_1_2	^	R
rewindA_1_3	c	rewindA_1_3	c	L
rewindA_1_3	a	rewindA_1_3	a	L
rewindA_1_3	R	rewindA_1_3	R	L
rewindA_1_3	A	rewindA_1_3	A	L
rewindA_1_3	L	rewindA_1_3	L	L
rewindA_1_3	,	rewindA_1_3	,	L
rewindA_1_3	d	rewindA_1_3	d	L
